PLAYER_ID,FIRST_NAME,LAST_NAME,NATIONALITY,DOB,TEAM,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,FOOT
ply626,Sergio,Peña,Peru,1995-09-28,Malmö FF,8,Midfielder,178,70,R
ply627,Erdal,Rakip,North Macedonia,1996-02-13,Malmö FF,7,Midfielder,178,71,R
ply628,Søren,Rieks,Denmark,1987-04-07,Malmö FF,5,Midfielder,185,76,
ply629,Patriot,Sejdiu,Kosovo,2000-05-05,Malmö FF,36,Midfielder,182,,L
ply630,Mahamé,Siby,France,1996-07-07,Malmö FF,25,Midfielder,191,84,R
ply631,Moustafa,Zeidan,Sweden,1998-06-07,Malmö FF,20,Midfielder,174,72,L
ply632,Mohamed,Buya,Sierra Leone,1995-01-10,Malmö FF,33,Forward,180,72,
ply633,Joseph,Ceesay,Sweden,1998-06-03,Malmö FF,15,Forward,178,69,R
ply634,Mamadou,Diagne,Sweden,2003-09-14,Malmö FF,41,Forward,,,
ply635,Isaac Kiese,Thelin,Sweden,1992-06-24,Malmö FF,9,Forward,189,83,R
ply636,Adi,Nalić,Bosnia-Herzegovina,1997-12-01,Malmö FF,22,Forward,190,83,
ply637,Ola,Toivonen,Sweden,1986-07-03,,,Forward,192,78,R
ply638,Jonnie,Fedel,Sweden,1966-11-22,Malmö FF,,Goalkeeping,184,89,
ply639,Scott,Carson,England,1985-09-03,Manchester City,33,Goalkeeper,188,86,R
ply640,,Ederson,Brazil,1993-08-17,Manchester City,31,Goalkeeper,188,86,L
ply641,Stefan,Ortega,Germany,1992-11-06,Manchester City,18,Goalkeeper,185,88,R
ply642,Manuel,Akanji,Switzerland,1995-07-19,Manchester City,25,Defender,187,91,R
ply643,Nathan,Aké,Netherlands,1995-02-18,Manchester City,6,Defender,180,75,L
ply644,João,Cancelo,Portugal,1994-05-27,Manchester City,7,Defender,182,74,R
ply645,Aymeric,Laporte,Spain,1994-05-27,Manchester City,14,Defender,190,87,L
ply646,Rico,Lewis,England,2004-11-21,,,Defender,,,R
ply647,Benjamin,Mendy,France,1994-07-17,Manchester City,22,Defender,185,85,L
ply648,Rúben,Dias,Portugal,1997-05-14,Manchester City,3,Defender,187,82,R
ply649,John,Stones,England,1994-05-28,Manchester City,5,Defender,188,70,R
ply650,Kyle,Walker,England,1990-05-28,Manchester City,2,Defender,183,83,R
ply651,Josh,Wilson-Esbrand,England,2002-12-26,Manchester City,97,Defender,176,63,L
ply652,Bernardo,Silva,Portugal,1994-08-10,Manchester City,20,Midfielder,173,64,L
ply653,Kevin De,Bruyne,Belgium,1991-06-28,Manchester City,17,Midfielder,181,70,R
ply654,Phil,Foden,England,2000-05-28,Manchester City,47,Midfielder,171,70,L
ply655,Jack,Grealish,England,1995-09-10,Manchester City,10,Midfielder,175,68,R
ply656,İlkay,Gündoğan,Germany,1990-10-24,Manchester City,8,Midfielder,180,79,R
ply657,Cole,Palmer,England,2002-05-06,Manchester City,80,Midfielder,189,72,L
ply658,Kalvin,Phillips,England,1995-12-02,Manchester City,4,Midfielder,178,72,R
ply659,,Rodri,Spain,1996-06-22,Manchester City,16,Midfielder,191,82,R
ply660,Sergio,Gómez,Spain,2000-09-04,Manchester City,21,Midfielder,171,68,L
ply661,Julián,Álvarez,Argentina,2000-01-31,Manchester City,19,Forward,170,71,R
ply662,Erling,Haaland,Norway,2000-07-21,Manchester City,9,Forward,194,88,L
ply663,Ben,Knight,England,2002-06-14,,,Forward,170,59,L
ply664,Riyad,Mahrez,Algeria,1991-02-21,Manchester City,26,Forward,179,67,L
ply665,Richard,Wright,England,1977-11-05,Manchester City,,Goalkeeping,189,87,
ply666,,Xabier,Spain,1970-05-24,Manchester City,,Goalkeeping,182,82,
ply667,Lorenzo,Buenaventura,Spain,1963-01-01,Manchester City,,Fitness,,,
ply668,Ryan,DeFreitas,England,1986-10-28,Manchester City,,Game,,,
ply669,Carles,Planchart,Spain,1965-12-17,Manchester City,,Video,,,
ply670,Piet,Cremers,Netherlands,1994-10-27,Manchester City,,Chief,,,
ply671,Martin,Drury,England,1986-04-10,Manchester United,,Aug-22,,,
ply672,De,Gea,Spain,1990-11-07,Manchester United,1,Goalkeeper,192,82,R
ply673,Martin,Dúbravka,Slovakia,1989-01-15,Manchester United,31,Goalkeeper,191,83,R
ply674,Tom,Heaton,England,1986-04-15,Manchester United,22,Goalkeeper,188,85,R
ply675,Radek,Vítek,Czech Republic,2003-10-24,Manchester United,50,Goalkeeper,198,76,R
ply676,Diogo,Dalot,Portugal,1999-03-18,Manchester United,20,Defender,184,77,R
ply677,Tyler,Fredricson,England,2005-02-23,Manchester United,80,Defender,,,R
ply678,Phil,Jones,England,1992-02-21,Manchester United,4,Defender,185,71,R
ply679,Victor,Lindelöf,Sweden,1994-07-17,Manchester United,2,Defender,187,82,R
ply680,Harry,Maguire,England,1993-03-05,Manchester United,5,Defender,194,99,R
ply681,Tyrell,Malacia,Netherlands,1999-08-17,Manchester United,12,Defender,175,67,L
ply682,Lisandro,Martínez,Argentina,1998-01-18,Manchester United,6,Defender,175,77,L
ply683,Teden,Mengi,England,2002-04-30,Manchester United,43,Defender,183,78,R
ply684,Luke,Shaw,England,1995-07-12,Manchester United,23,Defender,178,75,L
ply685,Axel,Tuanzebe,England,1997-11-14,Manchester United,38,Defender,186,81,R
ply686,Raphaël,Varane,France,1993-04-25,Manchester United,19,Defender,191,81,R
ply687,Aaron,Wan-Bissaka,England,1997-11-26,Manchester United,29,Defender,183,72,R
ply688,Brandon,Williams,England,2000-09-03,Manchester United,33,Defender,172,63,R
ply689,Bruno,Fernandes,Portugal,1994-09-08,Manchester United,8,Midfielder,179,69,R
ply690,,Casemiro,Brazil,1992-02-23,Manchester United,18,Midfielder,185,84,R
ply691,Christian,Eriksen,Denmark,1992-02-14,Manchester United,14,Midfielder,182,76,
ply692,,Fred,Brazil,1993-03-05,Manchester United,17,Midfielder,169,62,L
ply693,Zidane,Iqbal,Iraq,2003-04-27,,,Midfielder,181,65,R
ply694,Scott,McTominay,Scotland,1996-12-08,Manchester United,39,Midfielder,193,88,R
ply695,Facundo,Pellistri,Uruguay,2001-12-20,Manchester United,28,Midfielder,174,65,R
ply696,Donny van de,Beek,Netherlands,1997-04-18,Manchester United,34,Midfielder,184,76,R
ply697,Alejandro,Garnacho,Argentina,2004-07-01,Manchester United,49,Forward,180,80,R
ply698,,Antony,Brazil,2000-02-24,Manchester United,21,Forward,172,63,L
ply699,Cristiano,Ronaldo,Portugal,1985-02-05,Manchester United,7,Forward,187,83,
ply700,Anthony,Elanga,Sweden,2002-04-27,Manchester United,36,Forward,178,65,R
ply701,Mason,Greenwood,England,2001-10-01,Manchester United,11,Forward,181,70,
ply702,Anthony,Martial,France,1995-12-05,Manchester United,9,Forward,181,76,R
ply703,Charlie,McNeill,England,2003-09-09,,,Forward,182,70,R
ply704,Marcus,Rashford,England,1997-10-31,Manchester United,10,Forward,185,70,R
ply705,Jadon,Sancho,England,2000-03-25,Manchester United,25,Forward,180,76,R
ply706,Shola,Shoretire,Nigeria,2004-02-02,,,Forward,171,66,R
ply707,Richard,Hartis,England,1967-09-16,Manchester United,,Goalkeeping,,,
ply708,Craig,Mawson,England,1979-05-16,Manchester United,,Goalkeeping,188,84,
ply709,Richard,Hawkins,England,1971-01-27,Manchester United,,Athletic,,,
ply710,Michael,Clegg,England,1977-07-03,Manchester United,,Physical,173,73,
ply711,Eric,Ramsay,Wales,1992-02-14,Manchester United,,Individual,,,
ply712,Kevin,Keij,Netherlands,1985-09-29,Manchester United,,Game,,,
ply713,Luke,Lazenby,England,1990-12-15,Manchester United,,Game,,,
ply714,Anthony,Bates,England,1990-12-15,Manchester United,,Video,,,
ply715,Stewart,Heppinstall,England,1989-12-27,Manchester United,,Video,,,
ply716,Andrew,Meredith,Australia,1972-04-24,Manchester United,,Video,,,
ply717,Paul,Brand,Scotland,1988-02-07,Manchester United,,Chief,,,
ply718,Gianluigi,Donnarumma,Italy,1999-02-25,Paris Saint-Germain,99,Goalkeeper,196,90,R
ply719,Alexandre,Letellier,France,1990-12-11,Paris Saint-Germain,90,Goalkeeper,193,93,R
ply720,Keylor,Navas,Costa Rica,1986-12-15,Paris Saint-Germain,1,Goalkeeper,185,80,R
ply721,Sergio,Rico,Spain,1993-09-01,Paris Saint-Germain,16,Goalkeeper,195,90,R
ply722,El Chadaïlle,Bitshiabu,France,2005-05-16,Paris Saint-Germain,31,Defender,196,95,L
ply723,Achraf,Hakimi,Morocco,1998-11-04,Paris Saint-Germain,2,Defender,181,73,R
ply724,Juan,Bernat,Spain,1993-03-01,Paris Saint-Germain,14,Defender,170,67,L
ply725,Presnel,Kimpembe,France,1995-08-13,Paris Saint-Germain,3,Defender,189,80,L
ply726,,Marquinhos,Brazil,1994-05-14,Paris Saint-Germain,5,Defender,183,75,R
ply727,Nordi,Mukiele,France,1997-11-01,Paris Saint-Germain,26,Defender,187,84,R
ply728,Nuno,Mendes,Portugal,2002-06-19,Paris Saint-Germain,25,Defender,184,72,L
ply729,Sergio,Ramos,Spain,1986-03-30,Paris Saint-Germain,4,Defender,184,82,R
ply730,Carlos,Soler,Spain,1997-01-02,Paris Saint-Germain,28,Midfielder,180,76,R
ply731,,Danilo,Portugal,1991-09-09,Paris Saint-Germain,15,Midfielder,188,83,R
ply732,Fabián,Ruiz,Spain,1996-04-03,Paris Saint-Germain,8,Midfielder,189,70,L
ply733,Pablo,Sarabia,Spain,1992-05-11,Paris Saint-Germain,19,Midfielder,174,70,L
ply734,Renato,Sanches,Portugal,1997-08-18,Paris Saint-Germain,18,Midfielder,176,70,R
ply735,Marco,Verratti,Italy,1992-11-05,Paris Saint-Germain,6,Midfielder,165,60,R
ply736,,Vitinha,Portugal,2000-02-13,Paris Saint-Germain,17,Midfielder,172,64,R
ply737,Warren,Zaire-Emery,France,2006-03-08,Paris Saint-Germain,33,Midfielder,178,,R
ply738,Hugo,Ekitike,France,2002-06-20,Paris Saint-Germain,44,Forward,189,75,R
ply739,Kylian,Mbappé,France,1998-12-20,Paris Saint-Germain,7,Forward,178,73,R
ply740,Lionel,Messi,Argentina,1987-06-24,Paris Saint-Germain,30,Forward,170,72,L
ply741,,Neymar,Brazil,1992-02-05,Paris Saint-Germain,10,Forward,175,68,R
ply742,Gianluca,Spinelli,Italy,1966-10-28,Paris Saint-Germain,,Goalkeeping,,,
ply743,Janis,Blaswich,Germany,1991-05-02,RB Leipzig,21,Goalkeeper,193,88,R
ply744,Péter,Gulácsi,Hungary,1990-05-06,RB Leipzig,1,Goalkeeper,191,86,R
ply745,Jonas,Nickisch,Germany,2004-05-21,RB Leipzig,34,Goalkeeper,,,
ply746,Oskar,Preil,Germany,2003-09-14,RB Leipzig,,Goalkeeper,,,
ply747,Sanoussy,Ba,Germany,2004-01-05,RB Leipzig,25,Defender,184,,
ply748,Abdou,Diallo,Senegal,1996-05-04,RB Leipzig,37,Defender,186,79,L
ply749,Joško,Gvardiol,Croatia,2002-01-23,RB Leipzig,32,Defender,185,82,L
ply750,Marcel,Halstenberg,Germany,1991-09-27,RB Leipzig,23,Defender,188,87,L
ply751,Benjamin,Henrichs,Germany,1997-02-23,RB Leipzig,39,Defender,183,79,R
ply752,Lukas,Klostermann,Germany,1996-06-03,RB Leipzig,16,Defender,187,88,R
ply753,Willi,Orban,Hungary,1992-11-03,RB Leipzig,4,Defender,186,87,R
ply754,David,Raum,Germany,1998-04-22,RB Leipzig,22,Defender,180,75,L
ply755,Mohamed,Simakan,France,2000-05-03,RB Leipzig,2,Defender,187,82,R
ply756,Dani,Olmo,Spain,1998-05-07,RB Leipzig,7,Midfielder,179,72,R
ply757,Emil,Forsberg,Sweden,1991-10-23,RB Leipzig,10,Midfielder,177,76,R
ply758,Amadou,Haïdara,Mali,1998-01-31,RB Leipzig,8,Midfielder,175,72,R
ply759,Kevin,Kampl,Slovenia,1990-10-09,RB Leipzig,44,Midfielder,178,66,R
ply760,Konrad,Laimer,Austria,1997-05-27,RB Leipzig,27,Midfielder,180,72,R
ply761,Xaver,Schlager,Austria,1997-09-28,RB Leipzig,24,Midfielder,174,76,L
ply762,Dominik,Szoboszlai,Hungary,2000-10-25,RB Leipzig,17,Midfielder,186,74,R
ply763,André,Silva,Portugal,1995-11-06,RB Leipzig,19,Forward,185,84,R
ply764,Hugo,Novoa,Spain,2003-01-24,RB Leipzig,38,Forward,182,70,R
ply765,Christopher,Nkunku,France,1997-11-14,RB Leipzig,18,Forward,175,73,R
ply766,Yussuf,Poulsen,Denmark,1994-06-15,RB Leipzig,9,Forward,192,84,R
ply767,Timo,Werner,Germany,1996-03-06,RB Leipzig,11,Forward,181,75,R
ply768,Frederik,Gößling,Germany,1977-09-22,RB Leipzig,,Goalkeeping,190,88,
ply769,Philipp,Tschauner,Germany,1985-11-03,RB Leipzig,,Goalkeeping,196,100,R
ply770,Daniel,Behlau,Germany,1988-08-24,RB Leipzig,,Athletic,,,
ply771,Ruwen,Faller,Germany,1980-07-22,RB Leipzig,,Athletic,,,
ply772,Kai,Kraft,Germany,1977-07-02,RB Leipzig,,Athletic,,,
ply773,Matthias,Grote,Germany,1987-05-10,RB Leipzig,,Game,,,
ply774,Fabian,Friedrich,Germany,1985-10-19,RB Leipzig,,Chief,,,
ply775,Peter,Schneider,USA,1984-04-21,RB Leipzig,,Feb-22,,,
ply776,Philipp,Köhn,Switzerland,1998-04-02,RB Salzburg,18,Goalkeeper,191,75,R
ply777,Nico,Mantl,Germany,2000-02-06,RB Salzburg,1,Goalkeeper,193,88,
ply778,Adam,Stejskal,Czech Republic,2002-03-28,RB Salzburg,40,Goalkeeper,189,,R
ply779,Alexander,Walke,Germany,1983-06-06,RB Salzburg,33,Goalkeeper,189,88,R
ply780,Samson,Baidoo,Austria,2004-03-31,RB Salzburg,6,Defender,187,,R
ply781,,Bernardo,Brazil,1995-05-14,RB Salzburg,95,Defender,186,76,L
ply782,Amar,Dedić,Bosnia-Herzegovina,2002-08-18,RB Salzburg,70,Defender,180,70,R
ply783,Bryan,Okoh,Switzerland,2003-05-16,RB Salzburg,3,Defender,187,77,
ply784,Strahinja,Pavlović,Serbia,2001-05-24,RB Salzburg,31,Defender,194,84,L
ply785,Kamil,Piątkowski,Poland,2000-06-21,RB Salzburg,4,Defender,191,83,R
ply786,Oumar,Solet,France,2000-02-07,RB Salzburg,22,Defender,192,81,R
ply787,Andreas,Ulmer,Austria,1985-10-30,RB Salzburg,17,Defender,175,73,L
ply788,Ignace Van Der,Brempt,Belgium,2002-04-01,RB Salzburg,2,Defender,187,71,R
ply789,Max,Wöber,Austria,1998-02-04,RB Salzburg,39,Defender,188,76,L
ply790,Antoine,Bernède,France,1999-05-26,RB Salzburg,10,Midfielder,177,74,L
ply791,Nicolás,Capaldo,Argentina,1998-09-14,RB Salzburg,7,Midfielder,177,73,R
ply792,Ousmane,Diakité,Mali,2000-07-25,RB Salzburg,,Midfielder,187,87,
ply793,Mamady,Diambou,Mali,2002-11-11,RB Salzburg,15,Midfielder,176,,R
ply794,Youba,Diarra,Mali,1998-03-24,RB Salzburg,24,Midfielder,178,79,R
ply795,Lucas,Gourna-Douath,France,2003-08-05,RB Salzburg,27,Midfielder,185,78,R
ply796,Dijon,Kameri,Austria,2004-04-20,RB Salzburg,8,Midfielder,181,,R
ply797,Maurits,Kjærgaard,Denmark,2003-06-26,RB Salzburg,14,Midfielder,186,70,R
ply798,Justin,Omoregie,Austria,2003-09-21,RB Salzburg,36,Midfielder,,,
ply799,Nicolas,Seiwald,Austria,2001-05-04,RB Salzburg,13,Midfielder,179,70,R
ply800,Luka,Sučić,Croatia,2002-09-08,RB Salzburg,21,Midfielder,185,71,L
ply801,Samson,Tijani,Nigeria,2002-05-17,RB Salzburg,44,Midfielder,170,63,R
ply802,Chikwubuike,Adamu,Austria,2001-06-06,RB Salzburg,9,Forward,182,79,R
ply803,,Fernando,Brazil,1999-03-01,RB Salzburg,11,Forward,176,72,R
ply804,Sékou,Koïta,Mali,1999-11-28,RB Salzburg,20,Forward,173,66,L
ply805,Dominik,Lechner,Austria,2005-04-01,RB Salzburg,14,Forward,,,
ply806,Noah,Okafor,Switzerland,2000-05-24,RB Salzburg,77,Forward,185,85,R
ply807,Benjamin,Šeško,Slovenia,2003-05-31,RB Salzburg,30,Forward,193,77,R
ply808,Roko,Šimić,Croatia,2003-09-10,RB Salzburg,23,Forward,190,,R
ply809,Herbert,Ilsanker,Austria,1967-05-24,RB Salzburg,,Goalkeeping,195,90,R
ply810,Michael,Berktold,Austria,1980-09-30,RB Salzburg,,Athletic,,,
ply811,Thibaut,Courtois,Belgium,1992-05-11,Real Madrid,1,Goalkeeper,200,96,L
ply812,Diego,Piñeiro,Spain,2004-02-13,Real Madrid,38,Goalkeeper,183,69,
ply813,Lucas,Cañizares,Spain,2002-05-10,Real Madrid,30,Goalkeeper,187,81,R
ply814,Luis,López,Spain,2001-05-08,Real Madrid,26,Goalkeeper,193,84,L
ply815,Andriy,Lunin,Ukraine,1999-02-11,Real Madrid,13,Goalkeeper,191,84,R
ply816,David,Alaba,Austria,1992-06-24,Real Madrid,4,Defender,180,78,L
ply817,Álvaro,Odriozola,Spain,1995-12-14,Real Madrid,16,Defender,176,66,R
ply818,Dani,Carvajal,Spain,1992-01-11,Real Madrid,2,Defender,173,74,R
ply819,Eder,Militão,Brazil,1998-01-18,Real Madrid,3,Defender,186,78,R
ply820,Jesús,Vallejo,Spain,1997-01-05,Real Madrid,5,Defender,184,79,R
ply821,Ferland,Mendy,France,1995-06-08,Real Madrid,23,Defender,180,73,L
